category_id,category_name,parent_id,parent_name,root_id,root_name,path
29029,"Cheyenne County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Cheyenne County, NE"
29030,"Clay County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Clay County, NE"
29031,"Colfax County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Colfax County, NE"
29032,"Cuming County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Cuming County, NE"
29033,"Custer County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Custer County, NE"
29034,"Dakota County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Dakota County, NE"
29035,"Dawes County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Dawes County, NE"
29036,"Dawson County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Dawson County, NE"
29037,"Deuel County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Deuel County, NE"
29038,"Dixon County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Dixon County, NE"
29039,"Dodge County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Dodge County, NE"
29040,"Douglas County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Douglas County, NE"
29041,"Dundy County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Dundy County, NE"
29042,"Fillmore County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Fillmore County, NE"
29043,"Franklin County, NE",29012,Counties,3008,U.S. Regional Data,"U.S. Regional Data > States > Nebraska > Counties > Franklin County, NE"
